,method,n,p(t),ate_var,ate,r2,r2-adj
25,DIM,2000,0.5,0.00033038538538538527,0.34900000000000037,0.15577348317135775,0.15535094737714916
26,DIM,2000,0.5,0.00035126126126126085,0.33400000000000035,0.1371518215437879,0.13671996559861455
27,DIM,2000,0.5,0.0003433973973973971,0.3140000000000003,0.1256473778647743,0.12520976393978167
28,DIM,2000,0.5,0.00034475975975975986,0.3390000000000003,0.14298084854637694,0.14255191003213585
29,DIM,2000,0.5,0.0003464244244244241,0.33800000000000036,0.1416716269841266,0.14124203320383832
30,DIM,2000,0.5,0.00033371671671671654,0.2970000000000003,0.11683698135699816,0.11639495782414377
31,DIM,2000,0.5,0.0003327927927927926,0.35400000000000037,0.15858047469363545,0.15815934380008867
32,DIM,2000,0.5,0.00034545645645645576,0.3570000000000004,0.15586831378390686,0.15544582545246732
33,DIM,2000,0.5,0.0003330930930930926,0.30400000000000027,0.12193113930463806,0.12149166540038614
34,DIM,2000,0.5,0.00033616316316316256,0.3610000000000003,0.16250007793260435,0.16208090880244042
35,DIM,2000,0.5,0.00035510610610610583,0.3070000000000003,0.11726144042122488,0.11681962933034462
36,DIM,2000,0.5,0.0003386376376376376,0.3490000000000003,0.15255655380329813,0.1521324079343308
37,DIM,2000,0.5,0.0003340540540540538,0.3680000000000004,0.16867613942087323,0.16826006141257532
38,DIM,2000,0.5,0.00032466766766766774,0.3650000000000003,0.17038384163926468,0.16996861833678178
39,DIM,2000,0.5,0.0003417617617617616,0.35400000000000037,0.15506412128351432,0.1546412304533259
40,DIM,2000,0.5,0.0003380340340340336,0.35200000000000037,0.15501641444471137,0.15459349973722625
41,DIM,2000,0.5,0.0003536256256256256,0.31600000000000034,0.12382936507936393,0.12339084123806232
42,DIM,2000,0.5,0.00033863363363363365,0.3330000000000003,0.14081518364299117,0.14038516121238198
43,DIM,2000,0.5,0.0003284384384384383,0.32800000000000035,0.14085288896104187,0.14042288540196324
44,DIM,2000,0.5,0.0003511781781781775,0.32500000000000034,0.13084076261119237,0.13040574797786464
45,DIM,2000,0.5,0.00034106006006006024,0.31100000000000033,0.12429464929403755,0.12385635832771824
46,DIM,2000,0.5,0.00034506306306306334,0.3420000000000003,0.14504464285714114,0.14461673727298552
47,DIM,2000,0.5,0.0003336036036036031,0.32400000000000034,0.13606457934767446,0.1356321792372378
48,DIM,2000,0.5,0.00033840240240240194,0.35600000000000037,0.15785487953127852,0.15743338547698982
49,DIM,2000,0.5,0.0003463103103103104,0.34600000000000036,0.14749816421978024,0.1470714866242946
50,DIM,2000,0.5,0.00033420220220220227,0.35000000000000037,0.15501698226858684,0.15459406784529783
51,DIM,2000,0.5,0.00032990490490490427,0.3250000000000003,0.13811251675329395,0.13768114163655376
52,DIM,2000,0.5,0.0003382212212212211,0.3450000000000003,0.14975635104071316,0.14933080366886164
53,DIM,2000,0.5,0.00035075675675675657,0.34800000000000036,0.14734352415575291,0.1469167691628378
54,DIM,2000,0.5,0.00032991991991991983,0.33800000000000036,0.14771199238709865,0.14728542181271775
55,DIM,2000,0.5,0.000333707707707707,0.35400000000000037,0.15821448771816493,0.15779317364795376
56,DIM,2000,0.5,0.0003419849849849851,0.31700000000000034,0.12821154030174353,0.12777520974133394
57,DIM,2000,0.5,0.0003346346346346341,0.3380000000000003,0.1459345667846983,0.14550710660791377
58,DIM,2000,0.5,0.00033693493493493437,0.35000000000000037,0.15395326858498792,0.15352982177246788
59,DIM,2000,0.5,0.0003377087087087082,0.33300000000000035,0.1411464160655579,0.14071655941694206
60,DIM,2000,0.5,0.00034789789789789764,0.3200000000000003,0.1284012539184951,0.12796501830984564
61,DIM,2000,0.5,0.00033456156156156123,0.3450000000000003,0.15114688772652962,0.1507220363189853
62,DIM,2000,0.5,0.00035555855855855766,0.3450000000000003,0.14350199112403694,0.14307331344191676
63,DIM,2000,0.5,0.0003467337337337336,0.3250000000000003,0.1322960073847782,0.13186172110218797
64,DIM,2000,0.5,0.00034686186186186124,0.3190000000000003,0.12803491735563244,0.12759849839534998
65,DIM,2000,0.5,0.00033768768768768716,0.3580000000000004,0.1596335120269441,0.1592129081791097
66,DIM,2000,0.5,0.0003303813813813814,0.3670000000000004,0.16946467687731637,0.1690489935324101
67,DIM,2000,0.5,0.00033389789789789774,0.3660000000000004,0.16721841904219736,0.1668016114441203
68,DIM,2000,0.5,0.00034184484484484464,0.3550000000000003,0.1557727701410696,0.15535023398998904
69,DIM,2000,0.5,0.00033720120120120075,0.3440000000000003,0.14940206851971571,0.14897634382928515
70,DIM,2000,0.5,0.0003420050050050047,0.3570000000000004,0.1571940427368872,0.1567722179334522
71,DIM,2000,0.5,0.0003283823823823818,0.35600000000000037,0.16189176898590363,0.1614722953968074
72,DIM,2000,0.5,0.00032746646646646663,0.3410000000000003,0.15090473279787664,0.1504797601916693
73,DIM,2000,0.5,0.0003296396396396396,0.33600000000000035,0.14633008259063907,0.14590282036971347
74,DIM,2000,0.5,0.0003339079079079074,0.3260000000000003,0.1374097519601153,0.1369780251092444
75,DIM,2000,0.5,0.00033556556556556515,0.33800000000000036,0.14558865508522978,0.14516102177946655
76,DIM,2000,0.5,0.00034087987987987993,0.32900000000000035,0.13713213542306646,0.13670026962497983
77,DIM,2000,0.5,0.0003413123123123116,0.3730000000000004,0.16944819631919872,0.1690325047257648
78,DIM,2000,0.5,0.00033995895895895875,0.32900000000000035,0.1374525542903361,0.1370208488620529
79,DIM,2000,0.5,0.00033034534534534516,0.3570000000000004,0.16184431584842207,0.1614248185090068
80,DIM,2000,0.5,0.00033605405405405346,0.34200000000000036,0.14835616438356225,0.147929916217588
81,DIM,2000,0.5,0.00034324624624624617,0.31300000000000033,0.12499633185544223,0.12455839208159603
82,DIM,2000,0.5,0.0003412682682682685,0.32500000000000034,0.13413056094194098,0.13369719285432424
83,DIM,2000,0.5,0.0003437547547547548,0.32300000000000034,0.1318698958858664,0.13143539633425771
84,DIM,2000,0.5,0.0003393663663663664,0.33900000000000036,0.14492386266906176,0.14449589663436158
85,DIM,2000,0.5,0.0003386376376376376,0.34900000000000037,0.15255655380329802,0.1521324079343307
86,DIM,2000,0.5,0.0003306806806806801,0.3300000000000003,0.14150207900207967,0.14107240036294155
87,DIM,2000,0.5,0.00034310610610610625,0.32500000000000034,0.13350801553685565,0.1330743358649521
88,DIM,2000,0.5,0.00033432532532532485,0.3430000000000003,0.1497509645113293,0.1493254144435171
89,DIM,2000,0.5,0.0003386886886886886,0.3200000000000003,0.13143370555769407,0.13099898769260776
90,DIM,2000,0.5,0.0003312012012012009,0.3480000000000003,0.15469748762205504,0.15427441329153546
91,DIM,2000,0.5,0.0003344144144144143,0.35200000000000037,0.15643180349062646,0.15600959718606722
92,DIM,2000,0.5,0.00033768768768768754,0.3260000000000003,0.13608100633053977,0.1356486144418163
93,DIM,2000,0.5,0.0003352942942942938,0.32900000000000035,0.13909882170610433,0.13866794023548668
94,DIM,2000,0.5,0.00034079579579579587,0.35300000000000037,0.15469405439226014,0.15427097834340742
95,DIM,2000,0.5,0.00034820420420420386,0.3480000000000003,0.14826350120467724,0.14783720666073563
96,DIM,2000,0.5,0.0003417157157157155,0.34400000000000036,0.14771983961731816,0.1472932729704799
97,DIM,2000,0.5,0.0003278228228228227,0.3690000000000003,0.17210494583208424,0.17169058394311132
98,DIM,2000,0.5,0.0003469939939939937,0.3350000000000003,0.13932011535419997,0.13888934464116398
99,DIM,2000,0.5,0.0003440190190190188,0.3610000000000004,0.15938072892398003,0.15895999855807608
