,method,n,p(t),ate_var,ate,r2,r2-adj
48,GP-Interact,500,0.5,0,0.09671196106008505,0.8500997510580686,0.8497987465421208
49,GP-Interact,500,0.5,0,0.12873628039841783,0.8598834660132756,0.8596021075112942
50,GP-Interact,500,0.5,0,0.12651334658729746,0.8613924794960441,0.8611141511416185
51,GP-Interact,500,0.5,0,0.09698047011820421,0.8662762562366503,0.8660077346628283
52,GP-Interact,500,0.5,0,0.08991371664628059,0.858984571469994,0.8587014079588895
53,GP-Interact,500,0.5,0,0.14913786039297872,0.8642560801344799,0.8639835019821395
54,GP-Interact,500,0.5,0,0.0993739386339829,0.8382285461102466,0.8379037038333594
55,GP-Interact,500,0.5,0,0.1206863131830776,0.8526552410717498,0.8523593680618538
56,GP-Interact,500,0.5,0,0.05738866442209881,0.8420813043657837,0.8417641985512572
57,GP-Interact,500,0.5,0,0.1260371328945104,0.8718779979177511,0.8716207248212005
58,GP-Interact,500,0.5,0,0.15664913075739123,0.8607449125258674,0.8604652838361603
59,GP-Interact,500,0.5,0,0.1225692493995495,0.8496122990140657,0.8493103156787525
60,GP-Interact,500,0.5,0,0.1465139304637066,0.8718596985883504,0.8716023887461584
61,GP-Interact,500,0.5,0,0.1273481599974304,0.8515127961333654,0.8512146290573279
62,GP-Interact,500,0.5,0,0.0949824138217507,0.84759700187316,0.8472909717564394
63,GP-Interact,500,0.5,0,0.10432264153905169,0.859589505041713,0.8593075562566562
64,GP-Interact,500,0.5,0,0.1294881896593058,0.8472062820971601,0.846899467402576
65,GP-Interact,500,0.5,0,0.13845847114907356,0.8502584294496169,0.8499577435649777
66,GP-Interact,500,0.5,0,0.1298979040661497,0.8782175076939298,0.8779729645366887
67,GP-Interact,500,0.5,0,0.1041486654772342,0.8477355189344583,0.8474297669644472
68,GP-Interact,500,0.5,0,0.08187969933319954,0.8246416537472139,0.8242895285539352
69,GP-Interact,500,0.5,0,0.1014504837049443,0.8441168736037877,0.843803855277691
70,GP-Interact,500,0.5,0,0.07839348868396383,0.832845367397625,0.8325097155249295
71,GP-Interact,500,0.5,0,0.09705092627884113,0.863466054175143,0.8631918896252939
72,GP-Interact,500,0.5,0,0.10713547893307847,0.8353412812805301,0.8350106412831014
73,GP-Interact,500,0.5,0,0.12012357840767525,0.8509899457344425,0.8506907287580057
74,GP-Interact,500,0.5,0,0.1017451483644148,0.8476260307314388,0.8473200589055984
75,GP-Interact,500,0.5,0,0.07765182925731128,0.8626480761219533,0.8623722690458929
76,GP-Interact,500,0.5,0,0.1469554950124244,0.8574534178168286,0.8571671796999949
77,GP-Interact,500,0.5,0,0.13728488607333406,0.8709981892166179,0.8707391494359283
78,GP-Interact,500,0.5,0,0.102357263608268,0.8609314600771414,0.8606522059809107
79,GP-Interact,500,0.5,0,0.13513933900688166,0.8627433892156313,0.8624677735313253
80,GP-Interact,500,0.5,0,0.1127723426077814,0.8604633332476175,0.860183139137673
81,GP-Interact,500,0.5,0,0.10117936453007206,0.8385942370535572,0.8382701290958334
82,GP-Interact,500,0.5,0,0.11717561980715249,0.855472930954323,0.8551827159562393
83,GP-Interact,500,0.5,0,0.11690888251177503,0.8309259769837407,0.830586470913427
