,method,n,p(t),ate_var,ate,r2,r2-adj
33,GRF-Adjusted,1000,0.5,0.46094181801114303,29.76603472735409,0.6582411797290798,0.6578987360213935
34,GRF-Adjusted,1000,0.5,0.5040190272924555,29.53500016592588,0.6342608650175573,0.6338943929384165
35,GRF-Adjusted,1000,0.5,0.45259039610927976,28.981170416125693,0.6502883984768877,0.6499379860505118
36,GRF-Adjusted,1000,0.5,0.5475767633304991,30.048519248307663,0.6229588448946637,0.6225810481460612
37,GRF-Adjusted,1000,0.5,0.5632238954103471,30.076945986180874,0.616765709360567,0.616381707065337
38,GRF-Adjusted,1000,0.5,0.45161729618721624,29.664702142261312,0.6612977051568683,0.6609583240999112
39,GRF-Adjusted,1000,0.5,0.46183593043675236,29.115685576088065,0.6477916944895437,0.6474387803557656
40,GRF-Adjusted,1000,0.5,0.41367867994074,29.61246421314489,0.67989802081614,0.6795772773500239
41,GRF-Adjusted,1000,0.5,0.5200520914923391,29.929213258287326,0.6331473928349074,0.6327798050521769
42,GRF-Adjusted,1000,0.5,0.47194570131524555,28.72477839040137,0.636604840108471,0.6362407167017661
43,GRF-Adjusted,1000,0.5,0.4644136571556063,29.681237066517475,0.6552633763293481,0.6549179488507202
44,GRF-Adjusted,1000,0.5,0.47944476065904185,29.389091572185492,0.6435074949071271,0.6431502879881963
45,GRF-Adjusted,1000,0.5,0.48980641035059075,29.85326092431636,0.6457889728727645,0.6454340520038995
46,GRF-Adjusted,1000,0.5,0.4815382033511997,30.592985875114948,0.6607320004983833,0.6603920526030911
47,GRF-Adjusted,1000,0.5,0.5302165014031945,30.202581277100656,0.6328751934289034,0.632507332901277
48,GRF-Adjusted,1000,0.5,0.4664566514712736,28.91997711760545,0.6424243507360738,0.6420660585023424
49,GRF-Adjusted,1000,0.5,0.5070971210657418,29.757779217414978,0.6363323584962728,0.6359679620619003
50,GRF-Adjusted,1000,0.5,0.5055913732752523,29.14939520004225,0.6274146605335575,0.6270413285300842
51,GRF-Adjusted,1000,0.5,0.4947304257859131,30.323107763786098,0.6506298862883872,0.6502798160341672
52,GRF-Adjusted,1000,0.5,0.4742462540623076,28.791382118343975,0.636551452830343,0.6361872759293714
53,GRF-Adjusted,1000,0.5,0.5483813981467633,29.753396871426602,0.6179645263520568,0.6175817252762572
54,GRF-Adjusted,1000,0.5,0.5587762186594935,30.116230915834798,0.6192536254522089,0.6188721160588744
